side,price,qty,commission,commissionAsset,tradeId
BUY,33075.79000000,0.00040000,0.00000040,BTC,954064781
SELL,33135.36000000,0.00039900,0.01322101,USDT,954066414
BUY,33169.97000000,0.00040000,0.00000040,BTC,954072198
SELL,33219.99000000,0.00039900,0.01325478,USDT,954073704
BUY,33166.77000000,0.00040000,0.00000040,BTC,954075526
SELL,33177.51000000,0.00039900,0.01323783,USDT,954079150
BUY,33091.54000000,0.00040000,0.00000040,BTC,954082500
SELL,33132.85000000,0.00039900,0.01322001,USDT,954087942
BUY,33059.32000000,0.00040000,0.00000040,BTC,954091735
SELL,33165.11000000,0.00039900,0.01323288,USDT,954098723
BUY,33080.00000000,0.00040000,0.00000040,BTC,954104327
SELL,32895.00000000,0.00039900,0.01312511,USDT,954123887
